index,node_f,node_t,r,x,b,s_max,s_max_orig
1,0,1,0.001,0.12,1.1,2,2
2,1,2,0.0883,0.1262,2.8,0.512,0.256
3,2,3,0.1384,0.1978,2.4,0.512,0.256
4,3,4,0.0191,0.0273,0.4,0.256,0.256
5,4,5,0.0175,0.0251,0.8,0.256,0.256
6,5,6,0.0482,0.0689,0.6,0.256,0.256
7,8,7,0.0523,0.0747,0.6,0.256,0.256
8,3,8,0.0407,0.0582,1.2,0.256,0.256
9,8,9,0.01,0.0143,0.4,0.256,0.256
10,9,10,0.0241,0.0345,0.4,0.256,0.256
11,10,11,0.0103,0.0148,0.1,0.256,0.256
12,0,12,0.001,0.12,0.1,1,1
13,12,13,0.001,0.12,1.1,2,2
14,13,14,0.001,0.12,1.1,2,2
15,14,15,0.001,0.12,1.1,2,2
16,15,16,0.0883,0.1262,2.8,0.512,0.256
17,16,17,0.1384,0.1978,2.4,0.512,0.256
18,17,18,0.0191,0.0273,0.4,0.256,0.256
19,18,19,0.0175,0.0251,0.8,0.256,0.256
20,19,20,0.0482,0.0689,0.6,0.256,0.256
21,22,21,0.0523,0.0747,0.6,0.256,0.256
22,17,22,0.0407,0.0582,1.2,0.256,0.256
23,22,23,0.01,0.0143,0.4,0.256,0.256
24,23,24,0.0241,0.0345,0.4,0.256,0.256
25,24,25,0.0103,0.0148,0.1,0.256,0.256
26,14,26,0.001,0.12,0.1,1,1
27,26,27,0.0482,0.0689,0.6,0.256,0.256
28,27,28,0.0191,0.0273,0.4,0.256,0.256
