index,x,y,d_P,d_Q,v_max,v_min,beta_0,beta_1
0,0,0,0,0,1.21,0.81,0,0
1,-1,0,0.0201,0.0008,1.21,0.81,0,0
2,-1,-1,0.0201,0.0084,1.21,0.81,0,0
3,-1,-2,0.0201,0.0084,1.21,0.81,0,0
4,-2,-2,0.0173,0.0043,1.21,0.81,0,0
5,-2,-3,0.0291,0.0073,1.21,0.81,0,10
6,-2,-4,0.0219,0.0055,1.21,0.81,0,10
7,-1,-4,0.0235,0.0033,1.21,0.81,0,0
8,-1,-3,0.0235,0.0059,1.21,0.81,0,0
9,0,-3,0,0.0229,0.0008,1.21,0.81,0,0
10,0,-4,0.0217,0.0065,1.21,0.81,0,0
11,0,-5,0.0132,0.0033,1.21,0.81,0,0
12,1,-0,0.0201,0.0033,1.21,0.81,0,0
13,1,-1,0.0224,0.0083,1.21,0.81,0,0
14,1,-2,0.0224,0.0083,1.21,0.81,0,0
15,1,-3,0.0235,0.0033,1.21,0.81,0,0
16,1,-4,0.0235,0.0059,1.21,0.81,0,0
17,1,-5,0.0229,0.0008,1.21,0.81,0,0
18,1,-6,0.0217,0.0065,1.21,0.81,0,0
19,1,-7,0.0132,0.0033,1.21,0.81,0,0
20,1,-8,0.0201,0.0033,1.21,0.81,0,0
21,2,-6,0.0224,0.0083,1.21,0.81,0,0
22,2,-5,0.0224,0.0083,1.21,0.81,0,0
23,3,-5,0.0235,0.0033,1.21,0.81,0,0
24,3,-6,0.0235,0.0059,1.21,0.81,0,0
25,3,-7,0.0229,0.0008,1.21,0.81,0,0
26,2,-2,0.0217,0.0065,1.21,0.81,0,0
27,2,-3,0.0132,0.0033,1.21,0.81,0,0
28,2,-4,0.0201,0.0033,1.21,0.81,0,0
